,BodyLength,BodyWeight
947,22.8,80.8
967,20.4,68.1
1,21,64.5
10,21.7,70.5
100,21,67.9
101,18.9,57
102,19.2,56.9
104,20.9,65.8
105,19.1,49.8
106,19.6,58.6
107,21.9,78
108,21.6,69.3
109,20.8,60.3
11,20.2,54.7
110,19.8,49.8
111,19.3,48.8
112,19.4,45.4
113,19.9,64.2
114,16.4,30
115,21.1,60.3
116,21.2,64.9
117,19.6,50.3
118,22.5,69
119,20.9,66.2
12,24.2,94.5
121,18.9,51.3
122,20.4,56.2
123,22.5,70.4
124,22.5,84.1
125,20.9,54.2
126,21,74.1
127,21.7,73.9
128,22,80
129,25.7,110.1
13,21.5,91.6
130,20.5,59.9
131,19.5,52.7
132,22.4,94.7
133,20.4,55.1
134,20.5,66.5
135,22,78.4
136,29,59.7
137,20.8,59.8
138,19.5,49.2
139,20.8,64.5
14,20.5,66
140,19.1,56.6
141,19.7,47.7
142,20.6,62
143,20.9,71.1
144,19.8,53
145,19.8,55.4
146,18.6,44.8
147,19.5,45.3
148,20.5,59.8
149,20,59.6
15,20,60.5
150,19.4,43.5
151,21.5,64.6
152,21.4,69.4
153,18.4,39.9
154,19.7,49.1
155,23.5,95.5
156,21.3,61.5
157,21,66.6
158,20.8,75.8
159,19.7,52.6
16,19.5,54.1
160,21.5,71.6
161,19.2,52.1
162,21.4,86.6
163,20.5,66.3
164,20.2,59.7
165,19,50.5
166,21.1,60.5
167,21.6,65.3
168,19.8,61.2
169,22.1,72
17,20.3,57.2
170,18.8,46.5
171,20.7,66.2
172,19.3,58.9
173,20.1,58.5
174,19.6,60.4
175,20.7,50.6
176,22.9,87.7
177,20.6,58.2
178,21.4,64
179,21.5,85.8
18,20,53.3
180,18.8,49
181,20,53.3
182,20.2,59.4
183,20.3,66.3
184,20.8,76.8
185,19.5,58.6
186,18.7,49.2
187,18.2,45.4
188,21.4,64.1
189,19.7,49.6
19,19.5,52.8
190,20.7,60.2
191,20.7,59.1
192,22.4,76
193,20.5,59
194,21.6,74.4
195,21.9,75.9
196,21.2,55.8
197,19.2,46.5
198,21.8,81.1
199,20.3,55
2,19.5,54.6
20,19.5,46.8
200,20.9,59.5
201,20.2,55.9
202,21.6,71.8
203,19.9,53.4
204,20.4,62.7
205,20.2,65.3
206,23,88.3
207,21.9,77.3
208,21.4,81.4
209,20.7,58.9
21,24,95
211,21.8,79.8
212,22.2,77.1
213,20.2,56.9
214,19.3,51.8
215,19.4,51.6
216,20.1,63.7
217,21.5,72.3
218,20.2,57.1
219,20.3,51.4
22,24,100.9
220,21.7,67.5
221,19.4,44.1
222,20.7,64.9
223,20.8,62.6
224,21,60.8
225,19.7,53
226,19.7,53.6
227,20.1,61.1
228,20.4,51.9
229,20.6,57.8
23,20.5,68.4
231,19.6,47.9
232,21.2,69.4
233,19.1,49
234,20.6,53.5
235,21.1,75.5
236,21.7,73.6
237,18.7,42.9
238,19.6,58.8
239,20.5,61.9
240,18.8,53.7
241,19.5,55.4
242,19.7,54.9
243,20.5,54.1
244,20.6,52.6
245,22.5,82.4
246,21.6,65.8
248,20.6,58
249,20.5,61.2
25,19,48.9
250,18.5,46.6
251,20.5,67.2
252,23,89
253,21.1,83
254,18.4,49.8
255,20.4,56.6
256,20.1,61
257,30.5,232.7
258,19.4,52.6
259,20.4,69.2
26,20,64.7
260,20.2,54.8
261,19,46
264,19.8,52.1
265,20.3,56.8
266,21.7,78
267,20.5,68.9
268,19.5,55.3
269,21.4,73.3
27,19,47.8
270,19.4,46.6
271,19.4,46.2
272,18.6,45.3
273,20.5,53.1
274,21.4,63.4
275,20.4,55.1
276,20.6,60.4
277,21.2,64.2
278,18.2,60.1
279,20.6,67.1
28,24.3,93.6
280,17.3,31.8
281,22.5,79.4
282,21.4,68.5
283,18.9,51.6
284,19.6,52.9
285,21.4,73.3
286,21.2,61.6
287,19.4,49.1
288,22.4,78.9
289,21,66.3
29,21.2,65.7
290,21.5,66.3
291,20.9,65.4
292,19.9,54.3
293,17.9,39.3
294,21.2,73.8
295,19.2,47
296,20.5,70.4
297,19.2,49.6
298,20.6,58.8
299,19.5,56
3,19.8,46.2
30,21.5,74.8
300,21.6,68.5
301,21.6,66.7
302,20.9,54.4
303,20.7,67
304,20.2,69.9
305,19.9,52.8
306,21.4,80
307,20.2,56.3
308,21.6,71.5
309,22.1,76.7
31,20.5,59.2
310,20.6,66.1
311,19.9,56.9
312,20,59.2
313,18.1,40.2
314,19.8,63
315,17.5,40.7
316,19.8,49.7
317,21,58.8
318,21.1,62.9
319,19.8,55.4
32,23.5,85.4
320,26.4,129.7
321,21.2,64.5
322,20.7,56.9
323,20.5,65.7
324,20.9,67.2
325,22.9,86.6
326,20.4,64.5
327,19.1,43.8
328,21.6,69.7
329,22.3,82.8
33,20.8,67.5
330,20.2,55
331,19.4,53.4
332,21.4,68.6
333,19.9,54
334,21.4,72.5
335,20.4,60.3
336,21.3,74.8
337,22.5,82.9
338,21.3,65.1
339,19.4,53.9
340,20.6,58.2
342,21,64.1
343,20.4,56.9
344,19.2,47.4
345,24.7,103.9
346,20.6,68
347,19.6,47.5
348,21,63.9
349,21.1,72
35,20,52.9
350,20.9,62.6
351,21,66.2
352,19.2,51.7
353,19.6,53.4
354,19.7,55.4
355,21,71.7
357,21.3,58.5
358,20.4,53.1
359,20.5,53.9
36,21.1,64.1
360,19.6,54
361,19.8,49
363,21.1,61.9
364,20.3,60.1
365,20.8,62.4
366,19.4,57.1
367,19,56.1
368,21.3,77.9
37,19.6,55.7
370,19.6,50.6
371,21.3,54.2
372,19.6,60.8
373,21.4,72.7
374,18.4,52
375,19.8,52.5
376,20.9,64.2
377,21.8,67.1
378,20.8,71.9
379,22.8,76.4
38,20.4,56.8
380,21.2,63.9
381,20.4,60.8
382,20.4,53.5
383,21.9,73.5
385,22.6,86.8
386,20.5,60
387,18.8,49.2
388,23.4,75.1
389,20.8,71.7
39,18.9,45.6
390,20.1,51.4
391,20,65.3
392,20.4,56.8
393,19.6,55.7
394,19.9,61.6
395,19.6,47.1
396,20.4,51.4
397,20.9,73.5
398,19.7,58.8
399,21.1,63.3
4,20,59.8
40,24.5,98.5
400,22.7,94.8
401,19.3,58.5
402,19.5,51.5
403,21.2,66.6
404,20.2,51.8
405,21.6,86.8
406,18.6,48.4
407,20.1,57.7
408,20,58.7
409,20.2,64.4
41,20.5,67.3
410,22.6,95
411,20.7,64.7
412,20.4,58.3
413,20.9,65.4
414,19.3,50.7
415,19.4,51.1
416,19.3,53.9
417,19,52.7
418,19.9,56.5
419,19.1,53.3
42,21,73.3
420,19.5,48.1
421,19.9,58.3
422,19.5,59.3
423,24.7,107.8
424,21.1,61.6
425,20.2,55.8
426,19.9,59.5
427,20.5,58.9
428,20.4,57.2
429,24.9,100.8
430,21.4,71.8
431,18.4,46.1
432,20.2,59.7
433,20,64
434,22.1,67.2
435,20.9,55.9
436,19.9,54.3
437,21.4,80.3
438,19.9,51.9
439,18.9,52.2
44,19.9,57.5
440,20.5,58.4
441,19.9,59.4
442,21.4,59.3
443,20.2,54.6
444,17.7,34.3
445,20.4,62
446,21.1,69.8
447,21.3,77.6
448,19.1,51.2
449,21.7,68.4
45,20,58.3
450,21.5,84.7
451,21.3,68.9
452,21.9,71.2
453,19.1,52.4
454,24.9,114
455,20.2,61
456,21.2,72.4
457,24.2,97
46,20.9,70
47,19,46.4
48,20.5,51.6
49,20.3,54.6
5,27.8,148
50,21.5,58.7
51,20,54.8
52,21,57.4
54,22.9,72.1
55,23.9,101.4
56,19.8,55.8
57,19.6,57.1
58,22,70.3
59,20.4,56.8
6,20.5,68.8
60,17.6,36.1
61,20.6,62.2
62,20.5,56.4
63,21.3,73.3
64,19.2,52
65,21,73
66,21.6,57.4
67,21.4,70.1
68,20.5,64
69,21,64.7
7,21.8,82.3
70,21.1,62.4
71,20.5,66
72,19.4,53.4
73,25.4,120.5
74,23.5,79.8
75,20.4,54.8
76,21,65.2
77,19.4,57.5
78,20.1,49.7
79,21,60.5
8,22.8,72.9
80,20.9,50.9
81,20.8,58.5
82,19.8,52.7
83,20.8,63.1
84,19.9,41
85,20.3,62.4
87,20.2,58.5
88,19.5,47.8
89,21.4,66.5
90,20.4,54.8
91,20.9,57.6
92,20.1,63
93,19.2,51
94,19.9,59.4
95,20,59.6
96,21.4,70.1
97,22,74.2
98,21.7,73.3
99,20.2,60.4
501,20,41.8
502,19,50
503,23.5,85
504,21.5,67.6
505,21.6,64.6
506,20.8,70.9
507,23,97.5
508,22.5,77.5
509,20,61.2
510,19,47.6
511,26.6,120.7
512,21.3,58.9
513,20.8,60.2
514,20.1,58.5
515,24.1,103.5
516,21,68.6
517,19.3,55.5
518,20,55.5
519,22.2,77.9
520,19.5,48.9
521,22.5,77.2
522,21.5,76.5
523,20,53.5
524,20.5,58.3
525,21.6,76.6
526,19.6,48.4
527,20.6,56.8
528,27.1,148.8
529,20.3,57.6
530,20.1,54.4
531,22.4,73.2
532,19.4,51.4
533,21,57
534,20.1,54.1
535,21.1,61.8
536,25.5,102.3
537,21.3,63.3
538,21.4,68.8
539,22,77.4
540,21.8,83.2
541,20.5,66
542,19.8,51
543,21,64.7
544,21.5,69.3
545,19.6,48.4
546,20.6,59.2
547,20.9,57
548,21.6,76.8
549,21.5,63.2
550,22.9,86.9
551,19.9,48.1
552,19.3,46.1
553,21.8,74.2
554,21,59
555,21.2,60.1
556,21.4,70.1
